,sound_label,sound_start,sound_end,word,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,participant,duration,changeF2,changeF1,trajectory,gender,changeF1norm,changeF2norm,traj_norm,child
1,goat,4.82060500569555,4.88847902494331,WROTE,548.78,553.16,564.78,574.76,592.86,1548.39,1558.21,1566.69,1599.43,1589.46,Lola,0.0678740192477623,41.0699999999999,44.08,60.2477493355561,F,649.438481594756,605.091616131955,887.640808711094,teen
2,face,14.598,14.677,NAME,644.13,658.23,645.01,618.79,607.88,2080.56,2115.72,2241.43,2263.15,2117.89,Lola,0.0789999999999988,37.3299999999999,-36.25,52.0345212335042,F,-458.860759493678,472.531645569626,658.66482574057,teen
3,goat,58.796,58.943,NO,731.71,748.35,708.48,669.19,654.29,1597.5,1521.61,1442.17,1397.62,1403.6,Lola,0.146999999999998,-193.9,-77.4200000000001,208.78473699004,F,-526.666666666675,-1319.04761904764,1420.3043332656,teen
4,goat,59.3053108707871,59.406545142006,GOING,559.78,625.81,608.42,591.92,580.46,1943.33,1818.55,1843.7,1854.13,1830.26,Lola,0.101234271218914,-113.07,20.6800000000001,114.945584082208,F,204.278647448162,-1116.91424888605,1135.4414142385,teen
5,face,78.93,79.049,NEIGHBORING,571.72,564.01,537.43,476.41,417.88,2410.21,2433.88,2531.69,2593.85,2692.03,Lola,0.119,281.82,-153.84,321.075159425328,F,-1292.7731092437,2368.23529411765,2698.11058340612,teen
6,price,80.224,80.294,PRIMARY,799.05,795.8,790.13,786.56,786.14,1405.2,1430.44,1476.46,1472.73,1512.87,Lola,0.0699999999999932,107.67,-12.91,108.441214489695,F,-184.428571428589,1538.14285714301,1549.16020699579,teen
7,fleece,94.003,94.192,SHE,488.19,513.88,529.58,517.71,516.46,2572.65,2759.95,2756.48,2800.73,2766.85,Lola,0.188999999999993,194.2,28.27,196.246867236142,F,149.576719576725,1027.51322751327,1038.34321288968,teen
8,price,98.969,99.059,LIKE,928.83,897.79,834.61,793.31,748.5,1730.5,1780.03,1876.3,1884.92,2028.01,Lola,0.0900000000000034,297.51,-180.33,347.89525578829,F,-2003.66666666659,3305.66666666654,3865.50284209197,teen
9,face,101.149,101.223,SAME,531.27,521.59,499.14,501.76,536.53,2048.23,2164.35,2312.21,2364.21,2389,Lola,0.0739999999999981,340.77,5.25999999999999,340.810593291934,F,71.0810810810828,4605.00000000012,4605.54855799923,teen
10,goat,103.612803535654,103.707809123649,SO,574.35,550.01,510.76,444.34,424.91,1697.77,1669.11,1556.27,1439.73,1404.27,Lola,0.0950055879957148,-293.5,-149.44,329.354768600669,F,-1572.96010848057,-3089.29196894438,3466.68838695598,teen
11,price,118.538,118.593,LIKE,829.83,851.14,866.86,928.17,923.15,1614.35,1614.76,1599.04,1584.17,1583.43,Lola,0.0550000000000068,-30.9199999999998,93.3199999999999,98.3090473964628,F,1696.72727272706,-562.181818181745,1787.43722539001,teen
12,face,128.312,128.44,ESTATE,568.05,540.89,515.14,470.46,419.21,2279.02,2407.46,2563.36,2656.17,2784.8,Lola,0.127999999999986,505.78,-148.84,527.225524799398,F,-1162.81250000013,3951.40625000043,4118.94941249575,teen
13,face,130.506,130.667,THEY,543.35,515.54,503.37,474.21,438.79,2291.83,2441.71,2557.37,2823.91,2717.16,Lola,0.161000000000001,425.33,-104.56,437.993610113207,F,-649.440993788816,2641.80124223601,2720.45720567208,teen
14,lot,136.353,136.408,GOT,542.59,592.57,640.24,601,570.44,1158.48,1118.69,1146.7,1144.33,1128.95,Lola,0.0549999999999784,-29.53,27.85,40.591173917491,F,506.363636363835,-536.909090909302,738.021343954672,teen
15,fleece,137.743277190394,137.830846560847,THESE,432.64,421.29,427.59,426.25,409.3,2622.07,2617.32,2571.04,2771.33,2333.46,Lola,0.0875693704523144,-288.61,-23.34,289.552219297314,F,-266.531549552588,-3295.78708296369,3306.54677316641,teen
16,price,139.022,139.111,LIKE,857.77,861.08,845.42,817.73,794.37,1519.93,1498.66,1573.66,1625.67,1727.05,Lola,0.0889999999999986,207.12,-63.4,216.606219670627,F,-712.359550561809,2327.19101123599,2433.77774910821,teen
17,price,141.929,142.134,I,840.23,769.22,722.95,704.6,650.5,1606.47,1708.77,1907.05,1970.79,2011.85,Lola,0.204999999999984,405.38,-189.73,447.582860820206,F,-925.512195122023,1977.4634146343,2183.33102839142,teen
18,fleece,144.775,144.873,THESE,438.69,437.8,420.82,432.95,416.57,2347.27,2387.44,2497.05,2480.78,2533.35,Lola,0.0979999999999848,186.08,-22.12,187.390129942855,F,-225.714285714321,1898.77551020438,1912.14418309065,teen
19,goat,151.365,151.466,AGO,561.29,539.99,519.44,534.07,506.9,1848.11,1807.78,1864.19,1878.32,1952.6,Lola,0.100999999999999,104.49,-54.39,117.798269087453,F,-538.514851485154,1034.55445544555,1166.31949591539,teen
20,goat,156.420530833887,156.522649234694,GOING,514.82,541.87,533.18,543,611.54,1879.52,1850.3,1853.51,1853.51,1919.53,Lola,0.102118400806461,40.01,96.7199999999999,104.668803852915,F,947.135866172715,391.800103448825,1024.97496069575,teen
21,goat,158.145,158.283,SO,583.69,576.12,558.6,548.51,528.12,1703.72,1713.09,1756.77,1783.45,1720.44,Lola,0.137999999999977,16.72,-55.5700000000001,58.0308822955502,F,-402.681159420358,121.159420289875,420.513639822898,teen
22,price,158.411,158.589,MY,927.97,950.44,970.82,886.95,765.59,1245.64,1407.92,1608.92,1691.94,1896.33,Lola,0.177999999999997,650.69,-162.38,670.645018247359,F,-912.247191011251,3655.56179775287,3767.66864183916,teen
23,price,161.999,162.1,MY,875.73,929.75,926.07,846.13,779.37,1269.64,1403.11,1559.99,1710.43,1842.23,Lola,0.100999999999999,572.59,-96.36,580.641505319763,F,-954.059405940604,5669.20792079214,5748.92579524524,teen
24,goat,165.807555728506,165.93838707483,WHOLE,554.37,542.63,488.63,492.38,512.25,923.73,873.33,856.35,838.49,876.34,Lola,0.130831346323845,-47.39,-42.12,63.4027325909538,F,-321.941195160837,-362.222061696867,484.614233304715,teen
25,goat,170.523903637336,170.652216263249,AGO,567.36,571.91,584.38,584.4,581.6,1748.14,1675.2,1631.06,1580.27,1558.92,Lola,0.128312625913793,-189.22,14.24,189.755068443507,F,110.978946137126,-1474.67950758897,1478.84954494653,teen
