"","participant","sound_label","sound_start","sound_end","word","utterance","F1_20","F1_35","F1_50","F1_65","F1_80","F2_20","F2_35","F2_50","F2_65","F2_80","duration","changeF2","changeF1","trajectory","gender","changeF1norm","changeF2norm","traj_norm","child","meanF1","meanF2","FLEECEF1","FLEECEF2","TRAPF1","TRAPF2","u_F1","u_F2","s_f1","s_f2"
"1","Ali","goat",152.927565013994,153.009872044056,"GROWN","they looked like grown ups to us cos we were like fourteen or (( )) thirteen as well back then",527.14,482.19,545.63,490.55,506.75,1317.52,1313.64,1427.89,1470.3,1461.23,0.0823070300621396,143.71,-20.39,145.149289354099,"M",-247.730965199523,1746.02339425323,1763.51022803903,"teen",510.452,1398.116,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"2","Ali","price",153.972269524297,154.036313242143,"LIKE","they looked like grown ups to us cos we were like fourteen or (( )) thirteen as well back then",708.69,768.76,794.96,797.88,798.03,1435.48,1415.1,1400.25,1389.38,1327.02,0.0640437178455784,-108.46,89.3399999999999,140.517640173752,"M",1394.98459810556,-1693.53066387429,2194.08936427718,"teen",773.664,1393.446,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"3","Ali","goat",212.850412599823,212.943512656763,"DON'T","I'm not involved in it so I don't know",485.78,496.51,472.11,528.37,596.07,1516.1,1479.4,1428.35,1483.87,1418.24,0.0931000569408411,-97.8599999999999,110.29,147.446477407906,"M",1184.63944732152,-1051.12717666954,1583.74207549195,"teen",515.768,1465.192,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"4","Ali","face",224.938311953353,225.022150226757,"HATE","nah I hate rap",485.03,442.11,440.81,425.07,380.12,2213.46,2076.15,2232.33,2219.73,2282.8,0.0838382734046093,69.3400000000001,-104.91,125.754298932482,"M",-1251.33779286815,827.068559312529,1499.96289076211,"teen",434.628,2204.894,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"5","Ali","face",230.419086292051,230.542095761381,"JAMIE","and jamie oliver",539.08,489.66,465.22,572.37,607.7,2087.25,2185.1,2218.59,2270.36,2315.63,0.123009469330412,228.38,68.62,238.466200540035,"M",557.843232504986,1856.6050340934,1938.6003519737,"teen",534.806,2215.386,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"6","Ali","trap",260.335816042195,260.40976822423,"RAPPING","cos boys are passionate in rapping",738.72,725.85,752.24,786.91,762.97,1328.12,1228.48,1288.2,1365.25,1415.37,0.0739521820342475,87.25,24.25,90.5573023008084,"M",327.914597418772,1179.81643813558,1224.53861143504,"teen",753.338,1325.084,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"7","Ali","goat",267.594879128463,267.770334133653,"SO","so",554.48,540.33,493.3,447.07,479.54,1200.38,1161.52,1015.93,1055.41,1045.51,0.175455005190486,-154.87,-74.94,172.048599238704,"M",-427.118051825538,-882.676443637857,980.585301923512,"teen",502.944,1095.75,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"8","Ali","face",287.773624864439,287.893556602128,"AGES","started ages ago when I ((was like)) year eight",410.06,382.11,392.34,383.66,382.78,2139.82,2187.63,2216.42,2201.95,2255.44,0.119931737689512,115.62,-27.28,118.79470863637,"M",-227.462726093609,964.048401427531,990.519364806623,"teen",390.19,2200.252,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"9","Ali","goat",288.281960923904,288.383551344347,"AGO","started ages ago when I ((was like)) year eight",497.92,378.74,457.18,363.71,464.07,1945.61,1931.75,1962.15,1845.02,1990.93,0.10159042044279,45.3200000000002,-33.85,56.5661108792183,"M",-333.200707827195,446.105054024477,556.805559349694,"teen",432.324,1935.092,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"10","Ali","face",289.080645171311,289.211057931109,"EIGHT","started ages ago when I ((was like)) year eight",477.69,502.94,479.53,428.98,436.96,2145.9,2113.65,2235.13,2343.52,2247.27,0.130412759798446,101.37,-40.73,109.246555094428,"M",-312.316065260397,777.30124074261,837.698360676283,"teen",465.22,2217.094,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"11","Ali","face",291.824367827939,291.935336896663,"EIGHT","it started when I was in year eight",420.82,415.96,419.69,491.36,467.57,2174.37,2202.83,2234.23,2406.26,2305.7,0.11096906872416,131.33,46.75,139.402766830504,"M",421.288567503511,1183.48294267885,1256.23084372297,"teen",443.08,2264.678,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"12","Ali","lot",303.729074471894,303.824140947607,"LOT","there was a lot of Alis in my year",637.65,656.39,631.2,616.02,604.39,1065.35,1087.97,1106.1,1069.97,1017.13,0.0950664757130539,-48.2199999999999,-33.26,58.5781187816747,"M",-349.860450285241,-507.224020227129,616.180607751626,"teen",629.13,1069.304,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"13","Ali","foot",309.804567698047,309.865271201814,"FOOTBALLER","there was a footballer Ali",459.64,456.07,456.92,455.13,472.1,877.53,895.44,922.3,909.92,903.07,0.0607035037671153,25.5400000000001,12.46,28.4173045871702,"M",205.259980507911,420.733539500166,468.132855991166,"teen",459.972,901.652,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"14","Ali","goat",320.591501334711,320.873896447468,"SO","so",449.5,497.62,490.07,432.37,445.06,1534.27,1448.89,1423.6,1403.45,1443.86,0.282395112756774,-90.4100000000001,-4.44,90.5189576829076,"M",-15.7226517012147,-320.154265834869,320.540100001204,"teen",462.924,1450.814,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"15","Ali","price",322.983541987996,323.099583960811,"QUIET","so the normal Ali he were the quiet one",767.81,714.33,679.09,610.81,581.07,1511.59,1756.23,1780.75,1883.49,1903.02,0.116041972814344,391.43,-186.74,433.69260138951,"M",-1609.24530556513,3373.17601990661,3737.37700998393,"teen",670.622,1767.016,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"16","Ali","price",324.432136932103,324.506676060901,"GUY","and there was a guy called Al",744.76,799.04,762.92,718.81,703.82,1698.76,1675.29,1685.33,1687.99,1692.14,0.0745391287976531,-6.61999999999989,-40.9399999999999,41.4717735333322,"M",-549.241729282043,-88.8124144564502,556.375882067432,"teen",745.87,1687.902,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"17","Ali","foot",429.074523649836,429.137751742672,"FOOTBALL","football",438.21,436.69,425.43,399.88,424.88,898.2,868.82,905,890.41,837.6,0.0632280928368232,-60.6,-13.33,62.0487622761325,"M",-210.824008789915,-958.434728632324,981.34799726232,"teen",425.018,880.006,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"18","Ali","face",435.229981463485,435.351776158082,"GAME","it's a tag game",473.72,562.46,597.69,673.8,682.36,2088.43,2359.03,2183.17,2313.1,2275.85,0.121794694597384,187.42,208.64,280.458385504873,"M",1713.04670281165,1538.8190809095,2302.71430485525,"teen",598.006,2243.916,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
